"function word","frequency"
"a",0.0357142857142857
"about",0
"above",0
"after",0
"again",0
"against",0
"all",0
"almost",0
"along",0
"although",0
"am",0
"among",0
"amongst",0
"an",0
"and",0
"another",0
"any",0
"anything",0
"are",0
"art",0
"as",0
"at",0
"back",0
"be",0
"because",0
"been",0
"before",0
"being",0
"besides",0
"beyond",0
"both",0
"but",0
"by",0
"can",0
"cannot",0
"canst",0
"could",0
"dare",0
"did",0
"didst",0
"do",0
"does",0
"done",0
"dost",0
"doth",0
"down",0
"durst",0
"each",0
"either",0
"enough",0.0357142857142857
"ere",0
"even",0
"ever",0
"every",0
"few",0
"for",0
"from",0
"had",0
"hadst",0
"hast",0
"hath",0
"have",0.0357142857142857
"he",0
"hence",0
"her",0
"here",0.0357142857142857
"him",0
"himself",0
"his",0
"how",0
"i",0.0357142857142857
"if",0.0357142857142857
"in",0.0357142857142857
"is",0.0357142857142857
"it",0.0357142857142857
"t",0
"itself",0
"least",0
"like",0
"many",0
"may",0
"me",0
"might",0
"mine",0
"more",0
"most",0
"much",0
"must",0
"my",0.0714285714285714
"myself",0
"neither",0
"never",0
"no",0
"none",0
"nor",0
"not",0
"nothing",0
"now",0.0357142857142857
"o",0
"of",0
"offe",0
"off",0
"oft",0
"often",0
"on",0
"one",0
"only",0
"or",0.0357142857142857
"other",0
"our",0.0357142857142857
"ourselves",0
"out",0
"over",0
"own",0
"past",0
"perhaps",0
"quite",0
"rather",0
"round",0
"same",0
"shall",0
"shalt",0
"she",0
"should",0
"since",0
"so",0
"some",0
"something",0
"somewhat",0
"still",0
"such",0
"than",0
"that",0
"thatt",0
"thate",0
"yat",0
"yt",0
"the",0.178571428571429
"thee",0
"their",0
"them",0
"themselves",0
"then",0
"there",0
"these",0
"they",0
"thine",0
"this",0
"those",0
"thou",0.0357142857142857
"though",0
"through",0
"thus",0
"thy",0.0357142857142857
"thyself",0
"till",0.0357142857142857
"to",0.107142857142857
"too",0
"under",0
"unto",0
"up",0
"upon",0
"us",0
"very",0
"was",0
"we",0.0357142857142857
"well",0
"were",0
"wert",0
"what",0.0357142857142857
"when",0
"where",0.0357142857142857
"which",0
"while",0
"whilst",0
"who",0
"whom",0
"whose",0
"why",0
"will",0
"with",0
"wid",0
"wyth",0
"wytt",0
"wi",0
"wt",0
"wth",0
"within",0
"without",0
"ye",0
"yet",0
"you",0
"your",0
"yours",0
"yourself",0
"yourselves",0
