Source,Target,Weight,Type
1_Henry_IV,2_Henry_IV,4,undirected
1_Henry_IV,2_Henry_VI,4,undirected
1_Henry_IV,Antony_and_Cleopatra,1,undirected
2_Henry_IV,1_Henry_IV,4,undirected
2_Henry_IV,A_Midsummer_Night's_Dream,2,undirected
2_Henry_IV,Antony_and_Cleopatra,1,undirected
2_Henry_IV,Henry_V,1,undirected
2_Henry_IV,The_Merchant_of_Venice,5,undirected
2_Henry_VI,1_Henry_IV,4,undirected
2_Henry_VI,3_Henry_VI,5,undirected
2_Henry_VI,Henry_V,3,undirected
2_Henry_VI,King_John,1,undirected
2_Henry_VI,Richard_II,6,undirected
2_Henry_VI,Richard_III,1,undirected
3_Henry_VI,2_Henry_VI,5,undirected
3_Henry_VI,Richard_II,2,undirected
3_Henry_VI,Richard_III,1,undirected
A_Midsummer_Night's_Dream,2_Henry_IV,2,undirected
A_Midsummer_Night's_Dream,Love's_Labours_Lost,1,undirected
A_Midsummer_Night's_Dream,Romeo_and_Juliet,6,undirected
All's_Well_That_Ends_Well,Cymbeline,3,undirected
All's_Well_That_Ends_Well,Much_Ado_About_Nothing,1,undirected
All's_Well_That_Ends_Well,Othello,2,undirected
All's_Well_That_Ends_Well,The_Winter's_Tale,5,undirected
Antony_and_Cleopatra,1_Henry_IV,1,undirected
Antony_and_Cleopatra,2_Henry_IV,1,undirected
Antony_and_Cleopatra,Coriolanus,3,undirected
Antony_and_Cleopatra,Cymbeline,3,undirected
Antony_and_Cleopatra,Hamlet,2,undirected
Antony_and_Cleopatra,Julius_Caesar,3,undirected
Antony_and_Cleopatra,King_Lear,6,undirected
Antony_and_Cleopatra,Love's_Labours_Lost,1,undirected
Antony_and_Cleopatra,Troilus_and_Cressida,5,undirected
As_You_Like_It,Much_Ado_About_Nothing,5,undirected
As_You_Like_It,The_Comedy_of_Errors,3,undirected
As_You_Like_It,The_Merchant_of_Venice,6,undirected
As_You_Like_It,Twelfth_Night,2,undirected
Coriolanus,Antony_and_Cleopatra,3,undirected
Coriolanus,The_Merchant_of_Venice,2,undirected
Coriolanus,The_Winter's_Tale,1,undirected
Cymbeline,All's_Well_That_Ends_Well,3,undirected
Cymbeline,Antony_and_Cleopatra,3,undirected
Cymbeline,King_Lear,1,undirected
Cymbeline,The_Tempest,1,undirected
Cymbeline,The_Two_Gentlemen_of_Verona,3,undirected
Cymbeline,The_Winter's_Tale,6,undirected
Hamlet,Antony_and_Cleopatra,2,undirected
Hamlet,Othello,6,undirected
Hamlet,Troilus_and_Cressida,1,undirected
Henry_V,2_Henry_IV,1,undirected
Henry_V,2_Henry_VI,3,undirected
Henry_V,Love's_Labours_Lost,2,undirected
Julius_Caesar,Antony_and_Cleopatra,3,undirected
Julius_Caesar,Othello,1,undirected
Julius_Caesar,Troilus_and_Cressida,2,undirected
King_John,2_Henry_VI,1,undirected
King_John,Richard_II,3,undirected
King_John,Richard_III,5,undirected
King_Lear,Antony_and_Cleopatra,6,undirected
King_Lear,Cymbeline,1,undirected
King_Lear,The_Tempest,5,undirected
Love's_Labours_Lost,A_Midsummer_Night's_Dream,1,undirected
Love's_Labours_Lost,Antony_and_Cleopatra,1,undirected
Love's_Labours_Lost,Henry_V,2,undirected
Love's_Labours_Lost,The_Merchant_of_Venice,4,undirected
Love's_Labours_Lost,Troilus_and_Cressida,3,undirected
Much_Ado_About_Nothing,All's_Well_That_Ends_Well,1,undirected
Much_Ado_About_Nothing,As_You_Like_It,5,undirected
Much_Ado_About_Nothing,The_Merry_Wives_of_Windsor,2,undirected
Much_Ado_About_Nothing,Twelfth_Night,4,undirected
Othello,All's_Well_That_Ends_Well,2,undirected
Othello,Hamlet,6,undirected
Othello,Julius_Caesar,1,undirected
Othello,Twelfth_Night,5,undirected
Richard_II,2_Henry_VI,6,undirected
Richard_II,3_Henry_VI,2,undirected
Richard_II,King_John,3,undirected
Richard_II,Richard_III,5,undirected
Richard_III,2_Henry_VI,1,undirected
Richard_III,3_Henry_VI,1,undirected
Richard_III,King_John,5,undirected
Richard_III,Richard_II,5,undirected
Romeo_and_Juliet,A_Midsummer_Night's_Dream,6,undirected
Romeo_and_Juliet,The_Comedy_of_Errors,1,undirected
Romeo_and_Juliet,The_Tempest,1,undirected
Romeo_and_Juliet,Troilus_and_Cressida,2,undirected
The_Comedy_of_Errors,As_You_Like_It,3,undirected
The_Comedy_of_Errors,Romeo_and_Juliet,1,undirected
The_Comedy_of_Errors,Twelfth_Night,2,undirected
The_Merchant_of_Venice,2_Henry_IV,5,undirected
The_Merchant_of_Venice,As_You_Like_It,6,undirected
The_Merchant_of_Venice,Coriolanus,2,undirected
The_Merchant_of_Venice,Love's_Labours_Lost,4,undirected
The_Merchant_of_Venice,The_Taming_of_the_Shrew,1,undirected
The_Merchant_of_Venice,The_Tempest,2,undirected
The_Merchant_of_Venice,The_Winter's_Tale,1,undirected
The_Merchant_of_Venice,Troilus_and_Cressida,2,undirected
The_Merry_Wives_of_Windsor,Much_Ado_About_Nothing,2,undirected
The_Merry_Wives_of_Windsor,The_Taming_of_the_Shrew,3,undirected
The_Merry_Wives_of_Windsor,Twelfth_Night,1,undirected
The_Taming_of_the_Shrew,The_Merchant_of_Venice,1,undirected
The_Taming_of_the_Shrew,The_Merry_Wives_of_Windsor,3,undirected
The_Taming_of_the_Shrew,The_Two_Gentlemen_of_Verona,3,undirected
The_Taming_of_the_Shrew,Twelfth_Night,2,undirected
The_Tempest,Cymbeline,1,undirected
The_Tempest,King_Lear,5,undirected
The_Tempest,Romeo_and_Juliet,1,undirected
The_Tempest,The_Merchant_of_Venice,2,undirected
The_Two_Gentlemen_of_Verona,Cymbeline,3,undirected
The_Two_Gentlemen_of_Verona,The_Taming_of_the_Shrew,3,undirected
The_Two_Gentlemen_of_Verona,The_Winter's_Tale,1,undirected
The_Two_Gentlemen_of_Verona,Twelfth_Night,2,undirected
The_Winter's_Tale,All's_Well_That_Ends_Well,5,undirected
The_Winter's_Tale,Coriolanus,1,undirected
The_Winter's_Tale,Cymbeline,6,undirected
The_Winter's_Tale,The_Merchant_of_Venice,1,undirected
The_Winter's_Tale,The_Two_Gentlemen_of_Verona,1,undirected
Troilus_and_Cressida,Antony_and_Cleopatra,5,undirected
Troilus_and_Cressida,Hamlet,1,undirected
Troilus_and_Cressida,Julius_Caesar,2,undirected
Troilus_and_Cressida,Love's_Labours_Lost,3,undirected
Troilus_and_Cressida,Romeo_and_Juliet,2,undirected
Troilus_and_Cressida,The_Merchant_of_Venice,2,undirected
Twelfth_Night,As_You_Like_It,2,undirected
Twelfth_Night,Much_Ado_About_Nothing,4,undirected
Twelfth_Night,Othello,5,undirected
Twelfth_Night,The_Comedy_of_Errors,2,undirected
Twelfth_Night,The_Merry_Wives_of_Windsor,1,undirected
Twelfth_Night,The_Taming_of_the_Shrew,2,undirected
Twelfth_Night,The_Two_Gentlemen_of_Verona,2,undirected
