"tri-gram","frequency"
"t h e",5
"a r e",4
"e r e",4
"a s t",3
"c h e",3
"e e r",3
"e l y",3
"h e e",3
"m a s",3
"r e l",3
"s t e",3
"t e r",3
"y a r",3
"a i n",2
"a r t",2
"b e s",2
"b o t",2
"e a r",2
"e r s",2
"e s t",2
"g o o",2
"h e a",2
"h e r",2
"i n e",2
"i r r",2
"l o w",2
"o o d",2
"o t e",2
"r r e",2
"r t s",2
"s t i",2
"s w a",2
"t i r",2
"w a i",2
"a k e",1
"a l e",1
"a l l",1
"a r i",1
"a v e",1
"b e l",1
"b l o",1
"b u r",1
"c a r",1
"e a k",1
"e e p",1
"e i g",1
"e l o",1
"e l v",1
"e n d",1
"e n o",1
"e s w",1
"f a l",1
"g r o",1
"h a t",1
"h a v",1
"h e i",1
"h i s",1
"h o u",1
"i g h",1
"i l l",1
"i n d",1
"i s t",1
"k e e",1
"l a y",1
"l v e",1
"m a r",1
"m e n",1
"n e r",1
"n o u",1
"n o w",1
"o o m",1
"o p p",1
"o u g",1
"o u n",1
"o u r",1
"p e a",1
"p l a",1
"p p e",1
"p r a",1
"r a y",1
"r i n",1
"r o o",1
"r o u",1
"r s t",1
"r u n",1
"s a l",1
"s e l",1
"s p e",1
"s t l",1
"t a k",1
"t e n",1
"t e s",1
"t h o",1
"t h y",1
"t i l",1
"t l e",1
"t o p",1
"u g h",1
"u n d",1
"u r s",1
"v e s",1
"w h a",1
"w h e",1
"w h i",1
"w i n",1
