"","x"
"1","bote swaine"
"2","swaine here"
"3","here master"
"4","master what"
"5","what cheer"
"6","cheer good"
"7","good speak"
"8","speak to"
"9","to the"
"10","the mariners"
"11","mariners fall"
"12","fall to"
"13","to it"
"14","it yarely"
"15","yarely or"
"16","or we"
"17","we run"
"18","run our"
"19","our selves"
"20","selves a"
"21","a ground"
"22","ground bestirre"
"23","bestirre bestirre"
"24","bestirre heigh"
"25","heigh my"
"26","my hearts"
"27","hearts cheerely"
"28","cheerely cheerely"
"29","cheerely my"
"30","my hearts"
"31","hearts yare"
"32","yare yare"
"33","yare take"
"34","take in"
"35","in the"
"36","the toppe"
"37","toppe sale"
"38","sale tend"
"39","tend to"
"40","to the"
"41","the masters"
"42","masters whistle"
"43","whistle blow"
"44","blow till"
"45","till thou"
"46","thou burst"
"47","burst thy"
"48","thy wind"
"49","wind if"
"50","if room"
"51","room enough"
"52","enough good"
"53","good boteswain"
"54","boteswain have"
"55","have care"
"56","care where"
"57","where is"
"58","is the"
"59","the master"
"60","master play"
"61","play the"
"62","the men"
"63","men i"
"64","i pray"
"65","pray now"
"66","now keep"
"67","keep below"
